# (a_f, b_f) = (1.380, -0.540)
# x_fixed = -0.2, y = (-0.1, 0.4)
# Basin of attraction
# K=40, TARGET_UNCERTAIN_POINTS=150
# Protocol 0
used_eps,f_eps
2.500000000000000000e-01,1.000000000000000000e+00
1.250000000000000000e-01,7.462686567164179552e-01
6.250000000000000000e-02,6.818181818181817677e-01
3.125000000000000000e-02,5.102040816326530726e-01
1.562500000000000000e-02,4.032258064516128782e-01
7.812500000000000000e-03,2.793296089385474690e-01
3.906250000000000000e-03,2.427184466019417508e-01
1.953125000000000000e-03,1.679731243001119922e-01
9.765625000000000000e-04,1.503006012024048210e-01
4.882812500000000000e-04,1.213592233009708754e-01
2.441406250000000000e-04,8.731082654249126829e-02
1.220703125000000000e-04,6.077795786061588462e-02
6.103515625000000000e-05,5.359056806002143736e-02
3.051757812500000000e-05,4.344048653344917410e-02
1.525878906250000000e-05,2.989238740534077426e-02
7.629394531250000000e-06,3.145973154362416424e-02
3.814697265625000000e-06,2.496671105193075738e-02
1.907348632812500000e-06,1.510269834877164645e-02
9.536743164062500000e-07,1.236399604352126681e-02
4.768371582031250000e-07,1.031069562826505276e-02
2.384185791015625000e-07,7.846419417272584851e-03
1.192092895507812500e-07,6.393316852783223828e-03
5.960464477539062500e-08,6.591378476952146348e-03
2.980232238769531250e-08,4.184333854050435557e-03
1.490116119384765625e-08,2.955199180424760569e-03
7.450580596923828125e-09,2.402421641014142444e-03
3.725290298461914062e-09,1.803578299345902358e-03
1.862645149230957031e-09,1.652528368403657520e-03
9.313225746154785156e-10,1.108819550706318042e-03
4.656612873077392578e-10,1.071466838101360749e-03
2.328306436538696289e-10,8.083115987325674651e-04
1.164153218269348145e-10,6.139087158666754317e-04
5.820766091346740723e-11,4.955172208751494481e-04
2.910383045673370361e-11,4.529559907959342861e-04
1.455191522836685181e-11,3.258744297197479893e-04
7.275957614183425903e-12,2.302071711068514389e-04
3.637978807091712952e-12,1.710561577365849123e-04
1.818989403545856476e-12,1.582879574521970452e-04
